camera_id,area_id
0,9
0,10
0,11
0,50
0,51
0,52
0,91
0,92
0,93
0,132
0,133
0,134
0,173
0,174
0,175
1,88
1,89
1,90
1,91
1,92
1,93
1,129
1,130
1,131
1,132
1,133
1,134
1,170
1,171
1,172
1,173
1,174
1,175
2,6
2,7
2,8
2,47
2,48
2,49
2,88
2,89
2,90
2,129
2,130
2,131
2,170
2,171
2,172
3,6
3,7
3,8
3,9
3,10
3,11
3,47
3,48
3,49
3,50
3,51
3,52
4,1358
4,1359
4,1360
4,1399
4,1400
4,1401
4,1440
4,1441
4,1442
4,1481
4,1482
4,1483
4,1522
4,1523
4,1524
4,1563
4,1564
4,1565
5,1478
5,1479
5,1480
5,1481
5,1482
5,1483
5,1519
5,1520
5,1521
5,1522
5,1523
5,1524
5,1560
5,1561
5,1562
5,1563
5,1564
5,1565
6,1355
6,1356
6,1357
6,1396
6,1397
6,1398
6,1437
6,1438
6,1439
6,1478
6,1479
6,1480
6,1519
6,1520
6,1521
6,1560
6,1561
6,1562
7,1355
7,1356
7,1357
7,1358
7,1359
7,1360
7,1396
7,1397
7,1398
7,1399
7,1400
7,1401
7,1437
7,1438
7,1439
7,1440
7,1441
7,1442
8,39
8,40
8,80
8,81
8,121
8,122
8,162
8,163
9,77
9,78
9,79
9,80
9,81
9,118
9,119
9,120
9,121
9,122
9,159
9,160
9,161
9,162
9,163
10,36
10,37
10,38
10,77
10,78
10,79
10,118
10,119
10,120
10,159
10,160
10,161
11,36
11,37
11,38
11,39
11,40
12,105
12,106
12,107
12,146
12,147
12,148
12,187
12,188
12,189
12,228
12,229
12,230
12,269
12,270
12,271
12,310
12,311
12,312
13,225
13,226
13,227
13,228
13,229
13,230
13,266
13,267
13,268
13,269
13,270
13,271
13,307
13,308
13,309
13,310
13,311
13,312
14,102
14,103
14,104
14,143
14,144
14,145
14,184
14,185
14,186
14,225
14,226
14,227
14,266
14,267
14,268
14,307
14,308
14,309
15,102
15,103
15,104
15,105
15,106
15,107
15,143
15,144
15,145
15,146
15,147
15,148
15,184
15,185
15,186
15,187
15,188
15,189
16,23
16,24
16,25
16,64
16,65
16,66
16,105
16,106
16,107
16,146
16,147
16,148
16,187
16,188
16,189
16,228
16,229
16,230
17,143
17,144
17,145
17,146
17,147
17,148
17,184
17,185
17,186
17,187
17,188
17,189
17,225
17,226
17,227
17,228
17,229
17,230
18,20
18,21
18,22
18,61
18,62
18,63
18,102
18,103
18,104
18,143
18,144
18,145
18,184
18,185
18,186
18,225
18,226
18,227
19,20
19,21
19,22
19,23
19,24
19,25
19,61
19,62
19,63
