camera_id,area_id
1,21502
1,21503
1,21504
1,21505
1,21506
1,21507
1,21508
1,21509
1,21510
1,21634
1,21635
1,21636
1,21637
1,21638
1,21639
1,21640
1,21641
1,21642
1,21643
1,21644
1,21645
1,21765
1,21766
1,21767
1,21768
1,21769
1,21770
1,21771
1,21772
1,21773
1,21774
1,21775
1,21776
1,21777
1,21778
1,21896
1,21897
1,21898
1,21899
1,21900
1,21901
1,21902
1,21903
1,21904
1,21905
1,21906
1,21907
1,21908
1,21909
1,21910
1,21911
1,22027
1,22028
1,22029
1,22030
1,22031
1,22032
1,22033
1,22034
1,22035
1,22036
1,22037
1,22038
1,22039
1,22040
1,22041
1,22042
1,22043
1,22155
1,22156
1,22157
1,22158
1,22159
1,22160
1,22161
1,22162
1,22163
1,22164
1,22165
1,22166
1,22167
1,22168
1,22169
1,22170
1,22171
1,22172
1,22281
1,22282
1,22283
1,22284
1,22285
1,22286
1,22287
1,22288
1,22289
1,22290
1,22291
1,22292
1,22293
1,22294
1,22295
1,22296
1,22297
1,22298
1,22299
1,22400
1,22401
1,22402
1,22403
1,22404
1,22405
1,22406
1,22407
1,22408
1,22409
1,22410
1,22411
1,22412
1,22413
1,22414
1,22415
1,22416
1,22417
1,22418
1,22419
1,22510
1,22511
1,22512
1,22513
1,22514
1,22515
1,22516
1,22517
1,22518
1,22519
1,22520
1,22521
1,22522
1,22523
1,22524
1,22525
1,22526
1,22527
1,22528
1,22529
1,22617
1,22618
1,22619
1,22620
1,22621
1,22622
1,22623
1,22624
1,22625
1,22626
1,22627
1,22628
1,22629
1,22630
1,22631
1,22632
1,22633
1,22634
1,22635
1,22636
1,22720
1,22721
1,22722
1,22723
1,22724
1,22725
1,22726
1,22727
1,22728
1,22729
1,22730
1,22731
1,22732
1,22733
1,22734
1,22735
1,22736
1,22737
1,22738
1,22739
1,22820
1,22821
1,22822
1,22823
1,22824
1,22825
1,22826
1,22827
1,22828
1,22829
1,22830
1,22831
1,22832
1,22833
1,22834
1,22835
1,22836
1,22837
1,22838
1,22839
1,22917
1,22918
1,22919
1,22920
1,22921
1,22922
1,22923
1,22924
1,22925
1,22926
1,22927
1,22928
1,22929
1,22930
1,22931
1,22932
1,22933
1,22934
1,22935
1,23010
1,23011
1,23012
1,23013
1,23014
1,23015
1,23016
1,23017
1,23018
1,23019
1,23020
1,23021
1,23022
1,23023
1,23024
1,23025
1,23026
1,23027
1,23102
1,23103
1,23104
1,23105
1,23106
1,23107
1,23108
1,23109
1,23110
1,23111
1,23112
1,23113
1,23114
1,23115
1,23116
1,23117
1,23118
1,23189
1,23190
1,23191
1,23192
1,23193
1,23194
1,23195
1,23196
1,23197
1,23198
1,23269
1,23270
1,23271
1,23272
5,21894
5,21895
5,22022
5,22023
5,22024
5,22025
5,22026
5,22027
5,22028
5,22029
5,22030
5,22149
5,22150
5,22151
5,22152
5,22153
5,22154
5,22155
5,22156
5,22157
5,22158
5,22159
5,22160
5,22274
5,22275
5,22276
5,22277
5,22278
5,22279
5,22280
5,22281
5,22282
5,22283
5,22284
5,22285
5,22286
5,22287
5,22393
5,22394
5,22395
5,22396
5,22397
5,22398
5,22399
5,22400
5,22401
5,22402
5,22403
5,22404
5,22405
5,22406
5,22407
5,22408
5,22502
5,22503
5,22504
5,22505
5,22506
5,22507
5,22508
5,22509
5,22510
5,22511
5,22512
5,22513
5,22514
5,22515
5,22516
5,22517
5,22518
5,22519
5,22609
5,22610
5,22611
5,22612
5,22613
5,22614
5,22615
5,22616
5,22617
5,22618
5,22619
5,22620
5,22621
5,22622
5,22623
5,22624
5,22625
5,22626
5,22712
5,22713
5,22714
5,22715
5,22716
5,22717
5,22718
5,22719
5,22720
5,22721
5,22722
5,22723
5,22724
5,22725
5,22726
5,22727
5,22728
5,22729
5,22730
5,22811
5,22812
5,22813
5,22814
5,22815
5,22816
5,22817
5,22818
5,22819
5,22820
5,22821
5,22822
5,22823
5,22824
5,22825
5,22826
5,22827
5,22828
5,22829
5,22830
5,22907
5,22908
5,22909
5,22910
5,22911
5,22912
5,22913
5,22914
5,22915
5,22916
5,22917
5,22918
5,22919
5,22920
